Modelo,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
Random Forest,0.9939024390243902,0.0019162785398009366,1.0,0.0,0.9724583028461004,0.00865633616626814,0.9860174061315989,0.004434491321599135,0.9993919803529261,0.0005209898293448078
Decision Tree,0.9836043360433605,0.0022429465253722015,0.9655974803029347,0.006454121971455374,0.9602183823943266,0.00928449281103514,0.9628614140334948,0.005156098297907413,0.9752360690115198,0.004509376912111068
KNN,0.9814363143631437,0.0023312534599031647,0.9798441843465879,0.015654348305561568,0.9357441699030037,0.007461972802566849,0.9571612440676699,0.005013392411438171,0.9881409920478333,0.0026326921973705655
SVM (linear),0.9804878048780488,0.0018873154847132696,0.9357741093543943,0.008084354264541916,0.9791861315922779,0.007364517812781588,0.9569426636291933,0.004089703908846506,0.9910548923721831,0.0032372930575970153
Logistic Regression,0.9750677506775067,0.0010840108401083625,0.9201825008638224,0.008335984786148418,0.9718429297761768,0.007615504043740104,0.9452441263332328,0.0021778013087373135,0.9943055768469499,0.0020640817910352115
Naive Bayes,0.5926829268292683,0.04982582157377485,0.350705990107458,0.02683467286376451,0.9657285979625148,0.0029923868221411873,0.5139272047290583,0.028974307417924363,0.8970233682729015,0.013143803286546353
